Check_ID,Equipment_ID,Result,Inspector_Notes,Inspection_Date
41,285,Pending Review,Software update required,2024-02-04
42,44,Conditional Pass,Wear and tear detected on moving parts,2024-06-26
43,194,Pass,Wear and tear detected on moving parts,2024-08-01
44,101,Conditional Pass,"Minor issues detected, maintenance recommended",2024-05-27
45,90,Pass,"Minor issues detected, maintenance recommended",2023-10-28
46,388,Conditional Pass,No issues found,2023-09-21
47,283,Pass,Wear and tear detected on moving parts,2024-12-12
48,64,Fail,Parts replacement recommended,2024-09-16
49,84,Pass,"Critical issues found, immediate attention required",2024-07-12
50,121,Conditional Pass,Software update required,2024-03-22
51,399,Fail,Calibration needed,2024-07-25
52,390,Conditional Pass,Noise levels above threshold,2024-10-22
53,77,Conditional Pass,Parts replacement recommended,2024-04-09
54,353,Conditional Pass,"Minor issues detected, maintenance recommended",2023-10-14
55,225,Pass,No issues found,2023-04-18
56,2,Fail,Software update required,2024-02-05
57,165,Pending Review,Equipment functioning within acceptable parameters,2023-08-31
58,37,Pending Review,Equipment functioning within acceptable parameters,2024-12-07
59,188,Conditional Pass,"Critical issues found, immediate attention required",2024-11-13
60,74,Fail,Noise levels above threshold,2024-10-08
61,270,Fail,"Critical issues found, immediate attention required",2025-02-09
62,97,Fail,Safety mechanisms functioning properly,2023-06-28
63,166,Conditional Pass,"Minor issues detected, maintenance recommended",2024-06-20
64,150,Conditional Pass,Safety mechanisms functioning properly,2024-04-26
65,157,Pending Review,Parts replacement recommended,2023-08-17
66,236,Conditional Pass,Noise levels above threshold,2024-10-05
67,110,Pass,"Critical issues found, immediate attention required",2023-09-02
68,277,Pass,Equipment functioning within acceptable parameters,2024-10-15
69,84,Conditional Pass,Equipment functioning within acceptable parameters,2024-08-10
70,383,Pending Review,Equipment functioning within acceptable parameters,2023-06-04
71,122,Pass,Noise levels above threshold,2023-04-21
72,62,Conditional Pass,Equipment functioning within acceptable parameters,2025-01-07
73,94,Fail,Equipment functioning within acceptable parameters,2023-06-01
74,135,Fail,"Critical issues found, immediate attention required",2025-02-11
75,78,Fail,Calibration needed,2024-08-20
76,134,Conditional Pass,"Critical issues found, immediate attention required",2024-08-31
77,283,Pass,Wear and tear detected on moving parts,2024-05-10
78,245,Fail,No issues found,2024-01-02
79,122,Fail,Parts replacement recommended,2024-09-13
80,5,Conditional Pass,Safety mechanisms functioning properly,2024-04-09
81,21,Pending Review,Calibration needed,2024-01-09
82,58,Pending Review,Safety mechanisms functioning properly,2023-07-31
83,320,Pending Review,Software update required,2024-01-14
84,162,Conditional Pass,Noise levels above threshold,2024-12-01
85,37,Fail,Software update required,2023-08-07
86,15,Fail,Parts replacement recommended,2024-11-28
87,228,Pass,Safety mechanisms functioning properly,2024-01-11
88,283,Fail,Parts replacement recommended,2024-08-21
89,224,Pending Review,"Minor issues detected, maintenance recommended",2024-12-16
90,274,Fail,"Critical issues found, immediate attention required",2023-05-06
91,249,Fail,No issues found,2024-11-28
92,33,Fail,Equipment functioning within acceptable parameters,2023-09-02
93,339,Pending Review,Wear and tear detected on moving parts,2023-10-30
94,256,Fail,"Critical issues found, immediate attention required",2023-08-24
95,140,Fail,"Minor issues detected, maintenance recommended",2024-01-06
96,221,Pass,Wear and tear detected on moving parts,2023-04-11
97,362,Fail,Parts replacement recommended,2024-02-25
98,88,Pending Review,Wear and tear detected on moving parts,2024-05-08
99,185,Pending Review,No issues found,2024-05-22
100,301,Pending Review,Equipment functioning within acceptable parameters,2024-09-13
101,73,Pass,Parts replacement recommended,2023-10-21
102,213,Fail,"Critical issues found, immediate attention required",2024-02-23
103,10,Pending Review,Noise levels above threshold,2024-04-10
104,2,Pass,Software update required,2025-03-11
105,337,Pass,"Minor issues detected, maintenance recommended",2024-05-01
106,263,Fail,Calibration needed,2023-11-04
107,47,Pass,Wear and tear detected on moving parts,2023-08-29
108,92,Fail,Wear and tear detected on moving parts,2024-12-04
109,96,Pass,Software update required,2023-06-09
110,44,Pass,Noise levels above threshold,2023-05-07
111,40,Fail,Equipment functioning within acceptable parameters,2025-02-20
112,390,Pending Review,Parts replacement recommended,2023-11-14
113,141,Pending Review,Software update required,2023-10-16
114,118,Fail,Equipment functioning within acceptable parameters,2025-01-16
115,370,Fail,No issues found,2024-03-05
116,171,Pending Review,Safety mechanisms functioning properly,2024-09-07
117,345,Pending Review,Equipment functioning within acceptable parameters,2025-01-12
118,182,Pending Review,Calibration needed,2024-08-18
119,236,Pass,No issues found,2023-05-05
120,18,Fail,Software update required,2024-06-04
121,258,Pending Review,Noise levels above threshold,2024-03-17
122,107,Conditional Pass,No issues found,2023-04-27
123,275,Fail,No issues found,2023-05-20
124,303,Fail,Parts replacement recommended,2023-07-15
125,167,Conditional Pass,Noise levels above threshold,2023-11-17
126,306,Conditional Pass,Wear and tear detected on moving parts,2024-09-18
127,277,Fail,Calibration needed,2024-01-11
128,225,Pass,Wear and tear detected on moving parts,2023-12-26
129,32,Pass,"Critical issues found, immediate attention required",2024-06-29
130,173,Conditional Pass,Wear and tear detected on moving parts,2023-12-23
131,315,Fail,Calibration needed,2024-12-22
132,216,Pass,Software update required,2024-04-09
133,50,Fail,Software update required,2023-11-27
134,336,Pending Review,Parts replacement recommended,2025-03-05
135,54,Fail,No issues found,2023-08-25
136,105,Pass,"Minor issues detected, maintenance recommended",2025-01-08
137,265,Pass,Equipment functioning within acceptable parameters,2024-02-11
138,237,Fail,No issues found,2023-10-01
139,281,Conditional Pass,Wear and tear detected on moving parts,2024-01-05
140,326,Pending Review,Parts replacement recommended,2025-03-01
141,62,Pending Review,Software update required,2024-09-11
142,157,Fail,Software update required,2023-07-06
143,21,Pending Review,Noise levels above threshold,2025-03-18
144,118,Conditional Pass,Wear and tear detected on moving parts,2023-05-10
145,203,Pass,No issues found,2024-11-03
146,113,Fail,Noise levels above threshold,2023-06-26
147,263,Pass,Safety mechanisms functioning properly,2025-03-15
148,58,Conditional Pass,Wear and tear detected on moving parts,2023-08-31
149,97,Fail,No issues found,2024-07-06
150,126,Fail,"Critical issues found, immediate attention required",2025-03-11
151,399,Pending Review,Equipment functioning within acceptable parameters,2023-10-28
152,389,Pass,"Critical issues found, immediate attention required",2023-07-11
153,345,Pass,No issues found,2023-10-18
154,233,Conditional Pass,Parts replacement recommended,2023-06-02
155,394,Pass,Parts replacement recommended,2023-05-19
156,275,Pass,Noise levels above threshold,2023-08-20
157,335,Pass,No issues found,2024-05-04
158,390,Pending Review,Noise levels above threshold,2023-08-27
159,393,Pass,"Critical issues found, immediate attention required",2024-03-31
160,381,Fail,No issues found,2024-03-02
161,225,Conditional Pass,Equipment functioning within acceptable parameters,2024-07-10
162,145,Conditional Pass,Wear and tear detected on moving parts,2024-07-15
163,162,Fail,Safety mechanisms functioning properly,2025-03-21
164,334,Fail,No issues found,2024-06-21
165,102,Fail,Noise levels above threshold,2023-08-13
166,94,Pass,"Critical issues found, immediate attention required",2025-01-08
167,136,Pending Review,"Critical issues found, immediate attention required",2024-04-02
168,134,Pending Review,Wear and tear detected on moving parts,2024-12-19
169,235,Conditional Pass,Noise levels above threshold,2024-02-24
170,128,Conditional Pass,Noise levels above threshold,2023-11-01
171,301,Conditional Pass,Calibration needed,2023-10-21
172,2,Pending Review,Software update required,2023-04-16
173,169,Conditional Pass,No issues found,2024-07-06
174,359,Pending Review,Calibration needed,2023-05-15
175,164,Conditional Pass,Safety mechanisms functioning properly,2024-06-15
176,279,Pass,Safety mechanisms functioning properly,2024-03-06
177,268,Pass,Wear and tear detected on moving parts,2024-12-17
178,148,Pass,"Critical issues found, immediate attention required",2025-01-09
179,367,Fail,Software update required,2024-09-28
180,48,Fail,Noise levels above threshold,2025-01-17
181,255,Conditional Pass,Noise levels above threshold,2024-08-03
182,267,Conditional Pass,Software update required,2024-03-12
183,87,Pass,"Critical issues found, immediate attention required",2023-12-07
184,296,Pending Review,"Minor issues detected, maintenance recommended",2023-06-02
185,46,Conditional Pass,Parts replacement recommended,2025-02-01
186,260,Pass,Noise levels above threshold,2025-02-08
187,250,Pending Review,Software update required,2024-05-17
188,269,Pass,Software update required,2023-12-30
189,243,Conditional Pass,"Minor issues detected, maintenance recommended",2024-09-01
190,315,Conditional Pass,"Critical issues found, immediate attention required",2023-10-28
191,153,Pending Review,"Critical issues found, immediate attention required",2024-07-25
192,314,Fail,Safety mechanisms functioning properly,2023-11-18
193,66,Pending Review,Calibration needed,2024-07-30
194,251,Pending Review,Calibration needed,2025-03-08
195,171,Pending Review,Noise levels above threshold,2024-12-05
196,231,Conditional Pass,Safety mechanisms functioning properly,2024-08-22
197,393,Conditional Pass,Parts replacement recommended,2023-05-30
198,219,Pending Review,Wear and tear detected on moving parts,2025-01-01
199,178,Pass,No issues found,2025-03-07
200,145,Fail,"Minor issues detected, maintenance recommended",2024-04-25
201,374,Pass,Parts replacement recommended,2023-08-12
202,327,Pending Review,"Minor issues detected, maintenance recommended",2024-10-02
203,224,Conditional Pass,"Critical issues found, immediate attention required",2025-01-11
204,82,Conditional Pass,Equipment functioning within acceptable parameters,2024-07-08
205,18,Conditional Pass,Safety mechanisms functioning properly,2024-08-18
206,77,Pass,Calibration needed,2024-03-04
207,267,Pending Review,Equipment functioning within acceptable parameters,2023-08-13
208,129,Conditional Pass,Safety mechanisms functioning properly,2023-06-12
209,253,Pending Review,Noise levels above threshold,2024-11-20
210,381,Pending Review,No issues found,2024-08-28
211,398,Fail,Safety mechanisms functioning properly,2023-10-16
212,242,Fail,"Minor issues detected, maintenance recommended",2023-09-04
213,266,Fail,Parts replacement recommended,2025-03-21
214,115,Conditional Pass,Noise levels above threshold,2024-06-14
215,233,Pending Review,Calibration needed,2023-09-13
216,148,Fail,"Critical issues found, immediate attention required",2025-03-06
217,189,Fail,Parts replacement recommended,2024-08-05
218,302,Conditional Pass,Equipment functioning within acceptable parameters,2024-02-11
219,137,Fail,"Critical issues found, immediate attention required",2024-07-04
220,154,Conditional Pass,Calibration needed,2024-08-27
221,49,Fail,Calibration needed,2023-12-28
222,364,Conditional Pass,"Critical issues found, immediate attention required",2024-02-27
223,366,Pending Review,"Minor issues detected, maintenance recommended",2023-08-13
224,294,Conditional Pass,No issues found,2024-06-14
225,384,Pending Review,Equipment functioning within acceptable parameters,2024-01-02
226,243,Fail,Parts replacement recommended,2024-01-25
227,358,Fail,Wear and tear detected on moving parts,2024-08-19
228,143,Conditional Pass,Wear and tear detected on moving parts,2024-05-13
229,235,Pass,No issues found,2024-02-03
230,57,Pending Review,No issues found,2023-05-07
231,162,Pass,"Critical issues found, immediate attention required",2024-05-18
232,355,Conditional Pass,No issues found,2023-10-01
233,263,Pass,No issues found,2023-04-18
234,318,Conditional Pass,Calibration needed,2025-01-27
235,266,Fail,"Minor issues detected, maintenance recommended",2023-04-09
236,178,Pass,"Critical issues found, immediate attention required",2023-09-24
237,396,Pass,Safety mechanisms functioning properly,2025-01-28
238,1,Pending Review,Software update required,2024-03-07
239,180,Fail,Noise levels above threshold,2023-08-17
240,223,Fail,Software update required,2023-09-16
241,120,Pass,Parts replacement recommended,2023-10-13
242,373,Fail,Equipment functioning within acceptable parameters,2023-12-15
243,246,Fail,Parts replacement recommended,2024-04-17
244,317,Pending Review,No issues found,2024-05-23
245,185,Conditional Pass,"Critical issues found, immediate attention required",2023-09-30
246,28,Pass,Calibration needed,2023-07-08
247,158,Conditional Pass,Parts replacement recommended,2025-04-05
248,390,Conditional Pass,No issues found,2023-12-05
249,162,Fail,Software update required,2024-04-27
250,301,Conditional Pass,Safety mechanisms functioning properly,2023-04-14
251,347,Pass,Safety mechanisms functioning properly,2024-03-09
252,397,Fail,Wear and tear detected on moving parts,2025-03-27
253,122,Pending Review,Equipment functioning within acceptable parameters,2024-10-27
254,27,Pass,Wear and tear detected on moving parts,2023-07-27
255,56,Conditional Pass,"Critical issues found, immediate attention required",2024-07-30
256,287,Pending Review,Software update required,2023-07-25
257,205,Pass,No issues found,2023-05-15
258,257,Fail,Software update required,2023-05-16
259,217,Pass,No issues found,2025-01-12
260,174,Conditional Pass,"Minor issues detected, maintenance recommended",2025-01-29
261,353,Pass,Safety mechanisms functioning properly,2024-11-09
262,61,Conditional Pass,No issues found,2023-05-31
263,59,Pending Review,Equipment functioning within acceptable parameters,2025-02-18
264,209,Conditional Pass,Software update required,2023-07-05
265,74,Fail,Software update required,2024-04-15
266,95,Fail,Wear and tear detected on moving parts,2024-01-14
267,345,Fail,Noise levels above threshold,2024-02-19
268,136,Fail,Safety mechanisms functioning properly,2024-03-11
269,210,Conditional Pass,Software update required,2024-11-03
270,68,Pending Review,No issues found,2024-12-12
271,23,Pass,"Critical issues found, immediate attention required",2023-05-15
272,273,Conditional Pass,Calibration needed,2024-02-02
273,134,Pass,Safety mechanisms functioning properly,2024-03-28
274,123,Conditional Pass,Parts replacement recommended,2024-07-17
275,322,Fail,Wear and tear detected on moving parts,2024-06-16
276,60,Fail,Equipment functioning within acceptable parameters,2023-10-04
277,292,Fail,"Critical issues found, immediate attention required",2023-08-21
278,386,Pending Review,Parts replacement recommended,2023-04-30
279,1,Pending Review,Noise levels above threshold,2024-12-07
280,267,Pass,Safety mechanisms functioning properly,2023-06-12
281,111,Pass,Software update required,2025-02-19
282,129,Pending Review,Noise levels above threshold,2023-07-19
283,303,Conditional Pass,"Minor issues detected, maintenance recommended",2025-03-15
284,230,Pass,"Minor issues detected, maintenance recommended",2023-06-03
285,219,Pass,Noise levels above threshold,2024-09-21
286,293,Pass,Calibration needed,2024-10-26
287,3,Conditional Pass,Parts replacement recommended,2023-04-20
288,144,Fail,Calibration needed,2024-10-01
289,151,Fail,No issues found,2024-07-31
290,208,Conditional Pass,"Minor issues detected, maintenance recommended",2024-03-13
291,297,Pending Review,Wear and tear detected on moving parts,2025-04-04
292,121,Pending Review,Equipment functioning within acceptable parameters,2024-06-07
293,221,Fail,Calibration needed,2025-02-11
294,338,Fail,Noise levels above threshold,2024-09-08
295,231,Fail,"Critical issues found, immediate attention required",2023-04-15
296,171,Pass,"Minor issues detected, maintenance recommended",2023-05-08
297,141,Pass,No issues found,2025-01-18
298,248,Pending Review,Wear and tear detected on moving parts,2023-12-14
299,124,Conditional Pass,Noise levels above threshold,2023-05-12
300,356,Conditional Pass,Calibration needed,2024-12-07
301,17,Fail,Equipment functioning within acceptable parameters,2024-01-07
302,81,Pending Review,Wear and tear detected on moving parts,2024-10-27
303,82,Fail,Wear and tear detected on moving parts,2023-10-01
304,259,Pending Review,Noise levels above threshold,2023-05-10
305,278,Conditional Pass,Noise levels above threshold,2023-10-25
306,67,Fail,Safety mechanisms functioning properly,2023-07-06
307,219,Conditional Pass,"Critical issues found, immediate attention required",2024-06-22
308,179,Conditional Pass,Wear and tear detected on moving parts,2023-11-20
309,271,Conditional Pass,Equipment functioning within acceptable parameters,2023-11-08
310,73,Conditional Pass,"Minor issues detected, maintenance recommended",2024-10-28
311,198,Conditional Pass,Noise levels above threshold,2024-12-17
312,109,Fail,"Minor issues detected, maintenance recommended",2025-03-13
313,400,Pending Review,Parts replacement recommended,2023-06-27
314,38,Pass,Parts replacement recommended,2025-02-09
315,325,Pending Review,Equipment functioning within acceptable parameters,2025-01-06
316,59,Pending Review,Safety mechanisms functioning properly,2024-07-02
317,107,Pending Review,Safety mechanisms functioning properly,2023-06-02
318,347,Fail,"Minor issues detected, maintenance recommended",2024-06-11
319,352,Conditional Pass,Parts replacement recommended,2023-05-28
320,344,Fail,"Minor issues detected, maintenance recommended",2024-06-27
321,132,Pass,Wear and tear detected on moving parts,2024-08-03
322,338,Fail,"Critical issues found, immediate attention required",2024-01-28
323,388,Pending Review,Equipment functioning within acceptable parameters,2024-07-22
324,149,Fail,Software update required,2024-06-19
325,388,Fail,Calibration needed,2023-10-24
326,162,Pass,Software update required,2025-01-13
327,339,Conditional Pass,Safety mechanisms functioning properly,2023-09-21
328,363,Fail,Calibration needed,2023-09-20
329,216,Pass,Parts replacement recommended,2025-01-13
330,134,Pending Review,Noise levels above threshold,2023-07-28
331,221,Fail,"Minor issues detected, maintenance recommended",2024-10-02
332,385,Pass,Software update required,2023-09-06
333,76,Conditional Pass,Equipment functioning within acceptable parameters,2024-10-22
334,80,Pending Review,"Minor issues detected, maintenance recommended",2023-05-31
335,330,Pending Review,Parts replacement recommended,2024-11-20
336,23,Conditional Pass,Equipment functioning within acceptable parameters,2024-06-30
337,358,Fail,"Minor issues detected, maintenance recommended",2023-07-11
338,181,Conditional Pass,Safety mechanisms functioning properly,2024-07-30
339,51,Pending Review,Wear and tear detected on moving parts,2025-01-11
340,26,Fail,"Minor issues detected, maintenance recommended",2024-05-27
341,368,Fail,"Critical issues found, immediate attention required",2023-05-17
342,106,Conditional Pass,Noise levels above threshold,2024-09-13
343,192,Fail,Equipment functioning within acceptable parameters,2024-02-17
344,205,Fail,Equipment functioning within acceptable parameters,2024-09-23
345,134,Pass,Wear and tear detected on moving parts,2024-03-07
346,227,Pending Review,Parts replacement recommended,2023-08-23
347,45,Pending Review,Parts replacement recommended,2024-02-13
348,275,Fail,No issues found,2024-05-16
349,241,Conditional Pass,Safety mechanisms functioning properly,2024-06-04
350,15,Fail,Equipment functioning within acceptable parameters,2023-04-21
351,383,Conditional Pass,"Minor issues detected, maintenance recommended",2024-01-14
352,127,Conditional Pass,Software update required,2024-10-20
353,173,Fail,"Minor issues detected, maintenance recommended",2024-06-18
354,86,Pass,Parts replacement recommended,2023-07-16
355,76,Fail,No issues found,2025-03-01
356,222,Fail,Wear and tear detected on moving parts,2023-12-27
357,102,Pending Review,Safety mechanisms functioning properly,2024-03-15
358,269,Pass,Parts replacement recommended,2024-11-08
359,339,Conditional Pass,"Minor issues detected, maintenance recommended",2024-12-11
360,364,Pending Review,Calibration needed,2024-10-12
361,230,Pending Review,Calibration needed,2024-11-28
362,72,Conditional Pass,Parts replacement recommended,2024-12-20
363,168,Fail,"Minor issues detected, maintenance recommended",2023-10-10
364,85,Fail,"Critical issues found, immediate attention required",2024-11-30
365,169,Fail,Parts replacement recommended,2023-08-22
366,15,Fail,Wear and tear detected on moving parts,2024-02-16
367,208,Fail,"Critical issues found, immediate attention required",2023-12-02
368,266,Pending Review,Parts replacement recommended,2023-12-24
369,8,Pending Review,Wear and tear detected on moving parts,2024-11-23
370,239,Pending Review,No issues found,2025-03-07
371,17,Pass,Noise levels above threshold,2024-12-09
372,77,Pending Review,Noise levels above threshold,2025-04-03
373,114,Pass,Calibration needed,2024-01-15
374,117,Fail,No issues found,2024-02-26
375,240,Pass,Noise levels above threshold,2025-01-17
376,315,Pending Review,Noise levels above threshold,2023-11-02
377,76,Conditional Pass,Equipment functioning within acceptable parameters,2023-06-13
378,327,Fail,Wear and tear detected on moving parts,2024-08-17
379,47,Pending Review,Parts replacement recommended,2023-09-23
380,205,Conditional Pass,Noise levels above threshold,2023-12-18
381,272,Pending Review,Calibration needed,2025-01-07
382,300,Conditional Pass,Safety mechanisms functioning properly,2023-10-17
383,202,Fail,"Critical issues found, immediate attention required",2024-09-09
384,270,Fail,Safety mechanisms functioning properly,2025-01-14
385,151,Conditional Pass,Wear and tear detected on moving parts,2023-08-17
386,396,Pending Review,Calibration needed,2023-11-25
387,43,Pending Review,Wear and tear detected on moving parts,2023-05-12
388,111,Pass,Parts replacement recommended,2023-11-19
389,171,Pending Review,Software update required,2025-03-04
390,79,Fail,Noise levels above threshold,2023-10-23
391,115,Conditional Pass,No issues found,2025-01-09
392,382,Pass,Equipment functioning within acceptable parameters,2024-10-07
393,190,Conditional Pass,Calibration needed,2023-09-11
394,58,Pass,Equipment functioning within acceptable parameters,2023-12-06
395,383,Fail,Calibration needed,2024-09-19
396,304,Pending Review,Equipment functioning within acceptable parameters,2024-12-04
397,42,Conditional Pass,Software update required,2023-08-10
398,33,Pass,Safety mechanisms functioning properly,2023-08-15
399,259,Pending Review,Wear and tear detected on moving parts,2023-04-18
400,346,Pending Review,No issues found,2024-03-30
